protocol,length,src_port,dst_port,anomaly
2,93,39149.0,53.0,1
2,93,39149.0,53.0,1
2,93,39149.0,53.0,1
2,93,39149.0,53.0,1
0,60,0.0,0.0,1
0,42,0.0,0.0,1
2,88,36729.0,53.0,1
2,81,48487.0,53.0,1
2,81,48487.0,53.0,1
2,88,36729.0,53.0,1
2,88,36729.0,53.0,1
2,81,48487.0,53.0,1
2,81,48487.0,53.0,1
5,60,40230.0,80.0,0
5,60,40230.0,1025.0,0
5,60,40230.0,110.0,0
5,60,40230.0,135.0,0
5,60,40230.0,199.0,0
5,60,40230.0,554.0,0
5,60,40230.0,23.0,0
5,60,40230.0,25.0,0
5,60,40230.0,445.0,0
5,60,40230.0,53.0,0
5,58,135.0,40230.0,1
5,58,445.0,40230.0,1
5,60,40230.0,135.0,0
5,60,40230.0,445.0,0
5,60,40230.0,143.0,0
5,60,40230.0,5900.0,0
5,60,40230.0,256.0,0
5,60,40230.0,22.0,0
2,93,58100.0,53.0,1
2,93,58100.0,53.0,1
5,60,40232.0,22.0,0
5,60,40232.0,256.0,0
5,60,40232.0,5900.0,0
5,60,40232.0,143.0,0
5,60,40232.0,53.0,0
5,60,40232.0,25.0,0
5,60,40232.0,23.0,0
5,60,40232.0,554.0,0
5,60,40232.0,199.0,0
5,60,40232.0,110.0,0
5,60,40232.0,1025.0,0
5,60,40232.0,80.0,0
5,60,40230.0,3389.0,0
5,60,40230.0,1720.0,0
5,60,40230.0,139.0,0
5,60,40230.0,993.0,0
5,58,139.0,40230.0,1
5,60,40230.0,139.0,0
5,60,40230.0,111.0,0
5,60,40230.0,8888.0,0
5,60,40230.0,113.0,0
5,60,40230.0,21.0,0
5,60,40230.0,1723.0,0
5,60,40230.0,8080.0,0
5,60,40230.0,443.0,0
5,60,40230.0,995.0,0
5,60,40230.0,3306.0,0
5,60,40230.0,587.0,0
5,60,40230.0,2638.0,0
5,60,40230.0,800.0,0
5,60,40230.0,1501.0,0
5,60,40230.0,1434.0,0
5,60,40230.0,40911.0,1
5,60,40232.0,1720.0,0
5,60,40232.0,3389.0,0
5,60,40232.0,993.0,0
5,60,40232.0,40911.0,1
5,60,40232.0,1434.0,0
5,60,40232.0,1501.0,0
5,60,40232.0,800.0,0
5,60,40232.0,2638.0,0
5,60,40232.0,587.0,0
5,60,40232.0,3306.0,0
5,60,40232.0,995.0,0
5,60,40232.0,443.0,0
5,60,40232.0,8080.0,0
5,60,40232.0,1723.0,0
5,60,40232.0,21.0,0
5,60,40232.0,113.0,0
5,60,40232.0,8888.0,0
5,60,40232.0,111.0,0
5,60,40230.0,7777.0,0
5,60,40230.0,45100.0,1
5,60,40230.0,5009.0,0
5,60,40230.0,8180.0,0
5,60,40230.0,7001.0,0
5,60,40230.0,7402.0,0
5,60,40230.0,1055.0,0
5,60,40230.0,15003.0,0
