time,src_ip,dst_ip,protocol,length,src_port,dst_port,label
1774124062.580566000,192.168.159.130,192.168.159.1,DNS,93,39149,53,1
1774124062.580674300,192.168.159.130,192.168.159.1,DNS,93,39149,53,1
1774124067.586061500,192.168.159.130,192.168.159.1,DNS,93,39149,53,1
1774124067.586232200,192.168.159.130,192.168.159.1,DNS,93,39149,53,1
1774124069.251928500,,,ARP,60,,,1
1774124069.252346700,,,ARP,42,,,1
1774124069.343748900,192.168.159.130,192.168.159.1,DNS,88,36729,53,1
1774124072.592058900,192.168.159.130,192.168.159.1,DNS,81,48487,53,1
1774124072.592239300,192.168.159.130,192.168.159.1,DNS,81,48487,53,1
1774124073.345268400,192.168.159.130,192.168.159.1,DNS,88,36729,53,1
1774124077.345997200,192.168.159.130,192.168.159.1,DNS,88,36729,53,1
1774124077.597469700,192.168.159.130,192.168.159.1,DNS,81,48487,53,1
1774124077.597574600,192.168.159.130,192.168.159.1,DNS,81,48487,53,1
1774124082.396091300,192.168.159.130,192.168.159.128,TCP,60,40230,80,1
1774124082.396234300,192.168.159.130,192.168.159.128,TCP,60,40230,1025,1
1774124082.396259100,192.168.159.130,192.168.159.128,TCP,60,40230,110,1
1774124082.396298500,192.168.159.130,192.168.159.128,TCP,60,40230,135,1
1774124082.396322400,192.168.159.130,192.168.159.128,TCP,60,40230,199,1
1774124082.396347400,192.168.159.130,192.168.159.128,TCP,60,40230,554,1
1774124082.396366300,192.168.159.130,192.168.159.128,TCP,60,40230,23,1
1774124082.396384100,192.168.159.130,192.168.159.128,TCP,60,40230,25,1
1774124082.396403900,192.168.159.130,192.168.159.128,TCP,60,40230,445,1
1774124082.396425700,192.168.159.130,192.168.159.128,TCP,60,40230,53,1
1774124082.396963900,192.168.159.128,192.168.159.130,TCP,58,135,40230,1
1774124082.397240000,192.168.159.128,192.168.159.130,TCP,58,445,40230,1
1774124082.399132800,192.168.159.130,192.168.159.128,TCP,60,40230,135,1
1774124082.399469600,192.168.159.130,192.168.159.128,TCP,60,40230,445,1
1774124082.401082500,192.168.159.130,192.168.159.128,TCP,60,40230,143,1
1774124082.401152700,192.168.159.130,192.168.159.128,TCP,60,40230,5900,1
1774124082.401205700,192.168.159.130,192.168.159.128,TCP,60,40230,256,1
1774124082.401262200,192.168.159.130,192.168.159.128,TCP,60,40230,22,1
1774124082.602979700,192.168.159.130,192.168.159.1,DNS,93,58100,53,1
1774124082.603092300,192.168.159.130,192.168.159.1,DNS,93,58100,53,1
1774124083.502156700,192.168.159.130,192.168.159.128,TCP,60,40232,22,1
1774124083.502301700,192.168.159.130,192.168.159.128,TCP,60,40232,256,1
1774124083.502364000,192.168.159.130,192.168.159.128,TCP,60,40232,5900,1
1774124083.503763100,192.168.159.130,192.168.159.128,TCP,60,40232,143,1
1774124083.503883700,192.168.159.130,192.168.159.128,TCP,60,40232,53,1
1774124083.503913700,192.168.159.130,192.168.159.128,TCP,60,40232,25,1
1774124083.503969700,192.168.159.130,192.168.159.128,TCP,60,40232,23,1
1774124083.503992900,192.168.159.130,192.168.159.128,TCP,60,40232,554,1
1774124083.504014500,192.168.159.130,192.168.159.128,TCP,60,40232,199,1
1774124083.504036000,192.168.159.130,192.168.159.128,TCP,60,40232,110,1
1774124083.504070000,192.168.159.130,192.168.159.128,TCP,60,40232,1025,1
1774124083.504104400,192.168.159.130,192.168.159.128,TCP,60,40232,80,1
1774124083.603293600,192.168.159.130,192.168.159.128,TCP,60,40230,3389,1
1774124083.603416500,192.168.159.130,192.168.159.128,TCP,60,40230,1720,1
1774124083.603438000,192.168.159.130,192.168.159.128,TCP,60,40230,139,1
1774124083.603454900,192.168.159.130,192.168.159.128,TCP,60,40230,993,1
1774124083.603912100,192.168.159.128,192.168.159.130,TCP,58,139,40230,1
1774124083.605094500,192.168.159.130,192.168.159.128,TCP,60,40230,139,1
1774124083.606978700,192.168.159.130,192.168.159.128,TCP,60,40230,111,1
1774124083.607067200,192.168.159.130,192.168.159.128,TCP,60,40230,8888,1
1774124083.607113800,192.168.159.130,192.168.159.128,TCP,60,40230,113,1
1774124083.607149000,192.168.159.130,192.168.159.128,TCP,60,40230,21,1
1774124083.607184000,192.168.159.130,192.168.159.128,TCP,60,40230,1723,1
1774124083.607219200,192.168.159.130,192.168.159.128,TCP,60,40230,8080,1
1774124083.607264200,192.168.159.130,192.168.159.128,TCP,60,40230,443,1
1774124083.607326300,192.168.159.130,192.168.159.128,TCP,60,40230,995,1
1774124083.607796200,192.168.159.130,192.168.159.128,TCP,60,40230,3306,1
1774124083.607949700,192.168.159.130,192.168.159.128,TCP,60,40230,587,1
1774124083.607993200,192.168.159.130,192.168.159.128,TCP,60,40230,2638,1
1774124083.608013400,192.168.159.130,192.168.159.128,TCP,60,40230,800,1
1774124083.608032100,192.168.159.130,192.168.159.128,TCP,60,40230,1501,1
1774124083.608064600,192.168.159.130,192.168.159.128,TCP,60,40230,1434,1
1774124083.608099100,192.168.159.130,192.168.159.128,TCP,60,40230,40911,1
1774124083.703664900,192.168.159.130,192.168.159.128,TCP,60,40232,1720,1
1774124083.703814200,192.168.159.130,192.168.159.128,TCP,60,40232,3389,1
1774124083.706027300,192.168.159.130,192.168.159.128,TCP,60,40232,993,1
1774124083.708238500,192.168.159.130,192.168.159.128,TCP,60,40232,40911,1
1774124083.708360800,192.168.159.130,192.168.159.128,TCP,60,40232,1434,1
1774124083.708398500,192.168.159.130,192.168.159.128,TCP,60,40232,1501,1
1774124083.708419400,192.168.159.130,192.168.159.128,TCP,60,40232,800,1
1774124083.708440600,192.168.159.130,192.168.159.128,TCP,60,40232,2638,1
1774124083.708458300,192.168.159.130,192.168.159.128,TCP,60,40232,587,1
1774124083.708479100,192.168.159.130,192.168.159.128,TCP,60,40232,3306,1
1774124083.708503600,192.168.159.130,192.168.159.128,TCP,60,40232,995,1
1774124083.708524800,192.168.159.130,192.168.159.128,TCP,60,40232,443,1
1774124083.708546700,192.168.159.130,192.168.159.128,TCP,60,40232,8080,1
1774124083.708565000,192.168.159.130,192.168.159.128,TCP,60,40232,1723,1
1774124083.708585100,192.168.159.130,192.168.159.128,TCP,60,40232,21,1
1774124083.708610900,192.168.159.130,192.168.159.128,TCP,60,40232,113,1
1774124083.708631800,192.168.159.130,192.168.159.128,TCP,60,40232,8888,1
1774124083.708655700,192.168.159.130,192.168.159.128,TCP,60,40232,111,1
1774124083.803815100,192.168.159.130,192.168.159.128,TCP,60,40230,7777,1
1774124083.806142600,192.168.159.130,192.168.159.128,TCP,60,40230,45100,1
1774124083.806270200,192.168.159.130,192.168.159.128,TCP,60,40230,5009,1
1774124083.808431200,192.168.159.130,192.168.159.128,TCP,60,40230,8180,1
1774124083.808489500,192.168.159.130,192.168.159.128,TCP,60,40230,7001,1
1774124083.810704300,192.168.159.130,192.168.159.128,TCP,60,40230,7402,1
1774124083.810755200,192.168.159.130,192.168.159.128,TCP,60,40230,1055,1
1774124083.810778700,192.168.159.130,192.168.159.128,TCP,60,40230,15003,1
1774124083.810796700,192.168.159.130,192.168.159.128,TCP,60,40230,10629,1
1774124083.810838900,192.168.159.130,192.168.159.128,TCP,60,40230,2000,1
1774124083.810867200,192.168.159.130,192.168.159.128,TCP,60,40230,8009,1
1774124083.810893700,192.168.159.130,192.168.159.128,TCP,60,40230,1081,1
1774124083.810919400,192.168.159.130,192.168.159.128,TCP,60,40230,70,1
1774124083.810948800,192.168.159.130,192.168.159.128,TCP,60,40230,3005,1
1774124083.811011600,192.168.159.130,192.168.159.128,TCP,60,40230,32768,1
1774124083.811038800,192.168.159.130,192.168.159.128,TCP,60,40230,992,1
1774124083.811064700,192.168.159.130,192.168.159.128,TCP,60,40230,50002,1
1774124083.811089300,192.168.159.130,192.168.159.128,TCP,60,40230,7019,1
1774124083.903980500,192.168.159.130,192.168.159.128,TCP,60,40232,7777,1
1774124083.906341400,192.168.159.130,192.168.159.128,TCP,60,40232,5009,1
1774124083.906414900,192.168.159.130,192.168.159.128,TCP,60,40232,45100,1
1774124083.908669600,192.168.159.130,192.168.159.128,TCP,60,40232,7001,1
1774124083.908733800,192.168.159.130,192.168.159.128,TCP,60,40232,8180,1
1774124083.910995400,192.168.159.130,192.168.159.128,TCP,60,40232,70,1
1774124083.911145400,192.168.159.130,192.168.159.128,TCP,60,40232,1081,1
1774124083.911211400,192.168.159.130,192.168.159.128,TCP,60,40232,8009,1
1774124083.911237200,192.168.159.130,192.168.159.128,TCP,60,40232,2000,1
1774124083.911260000,192.168.159.130,192.168.159.128,TCP,60,40232,10629,1
1774124083.911281100,192.168.159.130,192.168.159.128,TCP,60,40232,15003,1
1774124083.911346400,192.168.159.130,192.168.159.128,TCP,60,40232,1055,1
1774124083.911373700,192.168.159.130,192.168.159.128,TCP,60,40232,7402,1
1774124083.913543100,192.168.159.130,192.168.159.128,TCP,60,40232,7019,1
1774124083.913601900,192.168.159.130,192.168.159.128,TCP,60,40232,50002,1
1774124083.913623700,192.168.159.130,192.168.159.128,TCP,60,40232,992,1
1774124083.913663000,192.168.159.130,192.168.159.128,TCP,60,40232,32768,1
1774124083.913707500,192.168.159.130,192.168.159.128,TCP,60,40232,3005,1
1774124084.004241800,192.168.159.130,192.168.159.128,TCP,60,40230,9111,1
1774124084.006572800,192.168.159.130,192.168.159.128,TCP,60,40230,82,1
1774124084.006649600,192.168.159.130,192.168.159.128,TCP,60,40230,7778,1
1774124084.008843600,192.168.159.130,192.168.159.128,TCP,60,40230,2035,1
1774124084.008959100,192.168.159.130,192.168.159.128,TCP,60,40230,2522,1
1774124084.011153000,192.168.159.130,192.168.159.128,TCP,60,40230,5510,1
1774124084.011212100,192.168.159.130,192.168.159.128,TCP,60,40230,1075,1
1774124084.013506400,192.168.159.130,192.168.159.128,TCP,60,40230,44501,1
1774124084.013620600,192.168.159.130,192.168.159.128,TCP,60,40230,6003,1
1774124084.013680300,192.168.159.130,192.168.159.128,TCP,60,40230,301,1
